#,Company,Symbol,Weight,??????Price,Chg,% Chg
1,Microsoft Corp,MSFT,13.259,329 ,-1.85,(-0.56%)
2,Apple Inc,AAPL,12.184,178 ,0.46,-0.26%
3,NVIDIA Corp,NVDA,6.941,380 ,-21.1,(-5.27%)
4,Amazon.com Inc,AMZN,6.732,121 ,-1.14,(-0.94%)
5,Meta Platforms Inc,META,4.093,265 ,2.43,-0.93%
6,Alphabet Inc,GOOGL,4.054,123 ,-0.68,(-0.55%)
7,Alphabet Inc,GOOG,4.017,124 ,-1.06,(-0.85%)
8,Tesla Inc,TSLA,3.437,204 ,2.55,-1.27%
9,Broadcom Inc,AVGO,2.346,805 ,1.4,-0.17%
10,PepsiCo Inc,PEP,1.752,183 ,0.9,-0.50%
11,Costco Wholesale Corp,COST,1.579,512 ,3.59,-0.71%
12,Cisco Systems Inc,CSCO,1.44,50 ,-0.53,(-1.06%)
13,Advanced Micro Devices Inc,AMD,1.414,118 ,-7.69,(-6.13%)
14,Adobe Inc,ADBE,1.338,413 ,-3.76,(-0.90%)
15,Netflix Inc,NFLX,1.226,394 ,0.92,-0.23%
16,T-Mobile US Inc,TMUS,1.154,138 ,2.87,-2.12%
17,Comcast Corp,CMCSA,1.154,39 ,-0.12,(-0.31%)
18,Texas Instruments Inc,TXN,1.121,174 ,-3.04,(-1.72%)
19,Honeywell International Inc,HON,0.911,192 ,-2.73,(-1.40%)
20,QUALCOMM Inc,QCOM,0.9,114 ,-2.27,(-1.96%)
21,Intel Corp,INTC,0.869,32 ,1.74,-5.79%
22,Amgen Inc,AMGN,0.818,220 ,1.93,-0.88%
23,Applied Materials Inc,AMAT,0.809,134 ,-2.37,(-1.74%)
24,Intuit Inc,INTU,0.798,416 ,10.4,-2.56%
25,Starbucks Corp,SBUX,0.787,98 ,0.05,-0.05%
26,Intuitive Surgical Inc,ISRG,0.754,309 ,1.43,-0.47%
27,Mondelez International Inc,MDLZ,0.691,73 ,0.9,-1.24%
28,Booking Holdings Inc,BKNG,0.667,2483 ,-46.3,(-1.83%)
29,Gilead Sciences Inc,GILD,0.667,77 ,0.51,-0.67%
30,Analog Devices Inc,ADI,0.629,175 ,-2.08,(-1.17%)
31,Automatic Data Processing Inc,ADP,0.61,213 ,2.97,-1.41%
32,Lam Research Corp,LRCX,0.596,616 ,-13.6,(-2.17%)
33,Vertex Pharmaceuticals Inc,VRTX,0.586,326 ,0.96,-0.29%
34,Regeneron Pharmaceuticals Inc,REGN,0.549,742 ,12.9,-1.77%
35,Micron Technology Inc,MU,0.548,68 ,-3.47,(-4.85%)
36,Fiserv Inc,FISV,0.497,111 ,-2.28,(-2.02%)
37,Synopsys Inc,SNPS,0.496,440 ,-24.6,(-5.28%)
38,PayPal Holdings Inc,PYPL,0.492,62 ,0.03,-0.05%
39,Palo Alto Networks Inc,PANW,0.45,212 ,-0.6,(-0.28%)
40,Cadence Design Systems Inc,CDNS,0.449,228 ,-6.41,(-2.73%)
41,ASML Holding NV,ASML,0.448,728 ,0.15,-0.02%
42,CSX Corp,CSX,0.448,31 ,0.08,-0.24%
43,KLA Corp,KLAC,0.445,457 ,-2.22,(-0.48%)
44,MercadoLibre Inc,MELI,0.44,1253 ,3.29,-0.26%
45,Activision Blizzard Inc,ATVI,0.44,80 ,0.15,-0.18%
46,Monster Beverage Corp,MNST,0.422,58 ,0.4,-0.68%
47,O'Reilly Automotive Inc,ORLY,0.402,894 ,-34.4,(-3.71%)
48,Marvell Technology Inc,MRVL,0.379,58 ,-5.25,(-8.28%)
49,Fortinet Inc,FTNT,0.376,68 ,-0.42,(-0.61%)
50,Marriott International Inc/MD,MAR,0.365,169 ,-0.41,(-0.24%)
51,Charter Communications Inc,CHTR,0.356,342 ,8.24,-2.47%
52,Moderna Inc,MRNA,0.349,128 ,-0.98,(-0.76%)
53,Cintas Corp,CTAS,0.336,476 ,3.94,-0.84%
54,NXP Semiconductors NV,NXPI,0.331,178 ,-4.12,(-2.26%)
55,Kraft Heinz Co/The,KHC,0.325,38 ,0.41,-1.07%
56,Dexcom Inc,DXCM,0.307,117 ,3.75,-3.30%
57,Airbnb Inc,ABNB,0.307,109 ,1.9,-1.77%
58,Keurig Dr Pepper Inc,KDP,0.305,31 ,0.13,-0.42%
59,Biogen Inc,BIIB,0.302,303 ,4.42,-1.48%
60,AstraZeneca PLC ADR,AZN,0.302,73 ,2.06,-2.88%
61,Workday Inc,WDAY,0.299,211 ,1.87,-0.89%
62,Copart Inc,CPRT,0.296,89 ,0.18,-0.20%
63,Microchip Technology Inc,MCHP,0.295,75 ,-1.36,(-1.78%)
64,Autodesk Inc,ADSK,0.295,201 ,5.46,-2.80%
65,American Electric Power Co Inc,AEP,0.295,84 ,2.1,-2.56%
66,Lululemon Athletica Inc,LULU,0.289,333 ,-3.22,(-0.96%)
67,PDD Holdings Inc ADR,PDD,0.282,65 ,-2.72,(-4.02%)
68,Exelon Corp,EXC,0.274,40 ,0.42,-1.07%
69,Paychex Inc,PAYX,0.271,105 ,-2.7,(-2.52%)
70,IDEXX Laboratories Inc,IDXX,0.271,465 ,-1.13,(-0.24%)
71,PACCAR Inc,PCAR,0.26,69 ,-2.27,(-3.19%)
72,Seagen Inc,SGEN,0.254,195 ,1.45,-0.75%
73,Ross Stores Inc,ROST,0.249,104 ,1.02,-0.99%
74,Xcel Energy Inc,XEL,0.247,67 ,2.44,-3.80%
75,Old Dominion Freight Line Inc,ODFL,0.245,310 ,-7.14,(-2.25%)
76,Electronic Arts Inc,EA,0.243,127 ,0.14,-0.11%
77,Crowdstrike Holdings Inc,CRWD,0.243,141 ,-17.2,(-10.87%)
78,Verisk Analytics Inc,VRSK,0.237,219 ,0.47,-0.21%
79,GLOBALFOUNDRIES Inc,GFS,0.232,59 ,-1.85,(-3.05%)
80,CoStar Group Inc,CSGP,0.224,80 ,1.24,-1.58%
81,Cognizant Technology Solutions Corp,CTSH,0.223,63 ,0.45,-0.71%
82,Fastenal Co,FAST,0.22,55 ,-0.39,(-0.72%)
83,Illumina Inc,ILMN,0.215,196 ,1.82,-0.93%
84,Dollar Tree Inc,DLTR,0.215,135 ,-3.95,(-2.86%)
85,ANSYS Inc,ANSS,0.201,292 ,-37.3,(-11.33%)
86,Baker Hughes Co,BKR,0.197,28 ,-0.08,(-0.29%)
87,Datadog Inc,DDOG,0.193,94 ,0.14,-0.14%
88,Warner Bros Discovery Inc,WBD,0.192,11 ,0.01,-0.09%
89,Constellation Energy Corp,CEG,0.192,85 ,0.84,-1.00%
90,Walgreens Boots Alliance Inc,WBA,0.181,30 ,0.42,-1.40%
91,Atlassian Corp,TEAM,0.178,176 ,7.13,-4.22%
92,Diamondback Energy Inc,FANG,0.167,127 ,-2.14,(-1.65%)
93,Enphase Energy Inc,ENPH,0.167,174 ,0.09,-0.05%
94,eBay Inc,EBAY,0.163,42 ,-1.34,(-3.06%)
95,Align Technology Inc,ALGN,0.153,285 ,-0.2,(-0.07%)
96,Zscaler Inc,ZS,0.136,131 ,-3.97,(-2.95%)
97,Zoom Video Communications Inc,ZM,0.113,67 ,1.02,-1.55%
98,JD.com Inc ADR,JD,0.104,33 ,0.55,-1.71%
99,Lucid Group Inc,LCID,0.099,7 ,-0.63,(-8.17%)
100,Sirius XM Holdings Inc,SIRI,0.098,4 ,-0.02,(-0.67%)
101,Rivian Automotive Inc,RIVN,0.096,15 ,-0.2,(-1.31%)
102,Apple Inc,AAPL,7.478043,178 ,0.46,-0.26%
103,Microsoft Corp,MSFT,6.991815,329 ,-1.85,(-0.56%)
104,Amazon.com Inc,AMZN,3.075857,121 ,-1.14,(-0.94%)
105,Nvidia Corp,NVDA,2.79827,380 ,-21.1,(-5.27%)
106,Alphabet Inc Cl A,GOOGL,2.088867,123 ,-0.68,(-0.55%)
107,Alphabet Inc Cl C,GOOG,1.835258,124 ,-1.06,(-0.85%)
108,Meta Platforms Inc Class A,META,1.657711,265 ,2.43,-0.93%
109,Berkshire Hathaway Inc Cl B,BRK.B,1.646874,321 ,-1.02,(-0.32%)
110,Tesla Inc,TSLA,1.534883,204 ,2.55,-1.27%
111,Unitedhealth Group Inc,UNH,1.272005,488 ,8.29,-1.73%
112,Exxon Mobil Corp,XOM,1.215493,102 ,-1.88,(-1.81%)
113,Johnson & Johnson,JNJ,1.145013,155 ,1.11,-0.72%
114,Jpmorgan Chase & Co,JPM,1.143882,136 ,-1.08,(-0.79%)
115,Visa Inc Class a Shares,V,1.021778,221 ,-0.38,(-0.17%)
116,Procter & Gamble Co,PG,0.958293,143 ,-0.28,(-0.20%)
117,Eli Lilly & Co,LLY,0.955933,428 ,0.64,-0.15%
118,Broadcom Inc,AVGO,0.952423,805 ,1.4,-0.17%
119,Mastercard Inc A,MA,0.879694,365 ,-2.02,(-0.55%)
120,Home Depot Inc,HD,0.839416,284 ,-8.75,(-2.99%)
121,Merck & Co. Inc.,MRK,0.785255,111 ,1.38,-1.26%
122,Chevron Corp,CVX,0.772797,151 ,-2.55,(-1.66%)
123,Pepsico Inc,PEP,0.709595,183 ,0.9,-0.50%
124,Abbvie Inc,ABBV,0.684542,141 ,4.79,-3.51%
125,Coca Cola Co,KO,0.660082,60 ,-0.06,(-0.10%)
126,Costco Wholesale Corp,COST,0.63952,512 ,3.59,-0.71%
127,Salesforce Inc,CRM,0.620953,210 ,-8.4,(-3.84%)
128,Mcdonald S Corp,MCD,0.592025,285 ,0.34,-0.12%
129,Pfizer Inc,PFE,0.589393,38 ,1.11,-3.00%
130,Cisco Systems Inc,CSCO,0.584723,50 ,-0.53,(-1.06%)
131,Walmart Inc,WMT,0.581087,147 ,0.79,-0.54%
132,Advanced Micro Devices,AMD,0.573014,118 ,-7.69,(-6.13%)
133,Thermo Fisher Scientific Inc,TMO,0.572192,509 ,-4.87,(-0.95%)
134,Bank of America Corp,BAC,0.55958,28 ,-0.44,(-1.56%)
135,Accenture Plc Cl A,ACN,0.551037,305 ,-3.29,(-1.07%)
136,Adobe Inc,ADBE,0.541891,413 ,-3.76,(-0.90%)
137,Abbott Laboratories,ABT,0.503125,103 ,0.92,-0.90%
138,Netflix Inc,NFLX,0.496501,394 ,0.92,-0.23%
139,Linde Plc,LIN,0.495821,365 ,10.24,-2.89%
140,Comcast Corp Class A,CMCSA,0.467349,39 ,-0.12,(-0.31%)
141,Oracle Corp,ORCL,0.458461,105 ,-0.37,(-0.35%)
142,Walt Disney Co,DIS,0.455142,88 ,0.22,-0.25%
143,Texas Instruments Inc,TXN,0.453806,174 ,-3.04,(-1.72%)
144,Wells Fargo & Co,WFC,0.443016,40 ,-1.1,(-2.70%)
145,Danaher Corp,DHR,0.422445,237 ,9.82,-4.32%
146,Verizon Communications Inc,VZ,0.415843,36 ,0.76,-2.18%
147,Nextera Energy Inc,NEE,0.409805,75 ,2.54,-3.49%
148,Philip Morris International,PM,0.396743,90 ,-0.12,(-0.13%)
149,Raytheon Technologies Corp,RTX,0.385777,92 ,-0.53,(-0.57%)
150,Bristol Myers Squibb Co,BMY,0.384294,65 ,0.99,-1.55%
151,Nike Inc Cl B,NKE,0.376441,105 ,-1.13,(-1.06%)
152,Honeywell International Inc,HON,0.368777,192 ,-2.73,(-1.40%)
153,Qualcomm Inc,QCOM,0.364343,114 ,-2.27,(-1.96%)
154,Lowe S Cos Inc,LOW,0.352887,203 ,-3.14,(-1.53%)
155,Intel Corp,INTC,0.351986,32 ,1.74,-5.79%
156,United Parcel Service Cl B,UPS,0.3515,167 ,-2.67,(-1.57%)
157,Conocophillips,COP,0.351378,99 ,-1.72,(-1.69%)
158,S&p Global Inc,SPGI,0.340266,368 ,3.23,-0.89%
159,Union Pacific Corp,UNP,0.337098,192 ,-2.38,(-1.23%)
160,Intl Business Machines Corp,IBM,0.332131,129 ,-0.19,(-0.14%)
